https://wiki.cassettebeasts.com/images/3/35/Malchemy.png
Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Sugar Rush	Typeless	Miscellaneous	—	100%	Passive
Initial	Bon Bon Blast	Typeless	Ranged Attack	70	85%	3 AP
Initial	Bite	Beast	Melee Attack	80	100%	3 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Taunt	Poison	Status Effect	—	100%	1 AP
Star-white.png	Trick	Typeless	Status Effect	—	100%	1 AP
Star-white.pngStar-white.png	Pustule Bomb	Poison	Ranged Attack	60	100%	4 AP
Star-white.pngStar-white.pngStar-white.png	Chemical Imbalance	Poison	Miscellaneous	—	100%	Passive
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Toxic Stab	Poison	Melee Attack	90	100%	4 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Poison Coating	Poison	Status Effect	—	100%	2 AP
