https://wiki.cassettebeasts.com/images/a/aa/Wooltergeist.png
Initial	Smack	Typeless	Melee Attack	30	100%	0 AP
Initial	Shear Luck	Typeless	Miscellaneous	—	100%	Passive
Initial	Battering Ram	Typeless	Melee Attack	70	85%	3 AP
Initial	Bite	Beast	Melee Attack	80	100%	3 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Cotton On	Plant	Status Effect	—	Unavoidable	4 AP
Star-white.png	Shooting Star	Astral	Ranged Attack	60	100%	2 AP
Star-white.pngStar-white.png	Nurse	Typeless	Miscellaneous	—	Unavoidable	5 AP
Star-white.pngStar-white.pngStar-white.png	Zephyr	Air	Ranged Attack	60	100%	2 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Phase Shift	Astral	Miscellaneous	—	100%	Passive
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	New Leaf	Plant	Miscellaneous	—	Unavoidable	3 AP
