Initial	Smack	Typeless	Melee Attack	30	100%	0 AP
Initial	Defend	Typeless	Status Effect	—	100%	1 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Leech	Plant	Status Effect	—	100%	1 AP
Initial	Snooze Spore	Plant	Status Effect	—	50%	2 AP
Initial	Call For Help	Typeless	Miscellaneous	—	50%	2 AP
Initial	Raise Shields	Typeless	Status Effect	—	100%	1 AP
Star-white.png	Cotton On	Plant	Status Effect	—	Unavoidable	4 AP
Star-white.pngStar-white.png	New Leaf	Plant	Miscellaneous	—	Unavoidable	3 AP
Star-white.pngStar-white.pngStar-white.png	Doc Leaf	Plant	Status Effect	—	100%	1 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	AP Donate	Typeless	Miscellaneous	—	Unavoidable	1 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Poison Pollen	Plant	Status Effect	—	100%	1 AP
