https://wiki.cassettebeasts.com/images/1/1a/Mothmanic.png
Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Zephyr	Air	Ranged Attack	60	100%	2 AP
Initial	Dodge	Typeless	Status Effect	—	100%	1 AP
Initial	Air Wall	Air	Status Effect	—	100%	2 AP
Initial	Thunder Blast	Lightning	Ranged Attack	60	100%	3 AP
Initial	Energy Shot	Typeless	Ranged Attack	60	100%	2 AP
Initial	Fog	Water	Status Effect	—	Unavoidable	4 AP
Initial	Broadcast	Air	Status Effect	—	100%	2 AP
Star-white.png	Charge	Lightning	Melee Attack	60	100%	2 AP
Star-white.pngStar-white.png	Battery	Lightning	Melee Attack	40	100%	3 AP
Star-white.pngStar-white.pngStar-white.png	Hurricane	Air	Ranged Attack	90	100%	5 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Energy Wave	Typeless	Ranged Attack	60	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Magnet	Metal	Status Effect	—	100%	1 AP
