https://wiki.cassettebeasts.com/images/1/18/Triphinx.png
Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Raise Shields	Typeless	Status Effect	—	100%	1 AP
Initial	Wonderful 7	Astral	Ranged Attack	90	100%	4 AP
Initial	Shooting Star	Astral	Ranged Attack	60	100%	2 AP
Initial	Broadcast	Air	Status Effect	—	100%	2 AP
Initial	Shield Bash	Metal	Melee Attack	90	100%	3 AP
Initial	Close Encounter	Astral	Status Effect	—	100%	1 AP
Star-white.png	Lightning Wall	Lightning	Status Effect	—	100%	2 AP
Star-white.pngStar-white.png	Magnet	Metal	Status Effect	—	100%	1 AP
Star-white.pngStar-white.pngStar-white.png	Energy Wave	Typeless	Ranged Attack	60	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Sonic Boom	Air	Ranged Attack	60	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Self-Destruct	Fire	Ranged Attack	60	100%	Passive
