https://wiki.cassettebeasts.com/images/e/e6/Plasmantler.png
Initial	Smack	Typeless	Melee Attack	30	100%	0 AP
Initial	Broadcast	Air	Status Effect	—	100%	2 AP
Initial	Charge	Lightning	Melee Attack	60	100%	2 AP
Initial	Battery	Lightning	Melee Attack	40	100%	3 AP
Initial	Thunder Blast	Lightning	Ranged Attack	60	100%	3 AP
Initial	Bolt From The Blue	Lightning	Miscellaneous	—	50%	4 AP
Star-white.png	Magnet	Metal	Status Effect	—	100%	1 AP
Star-white.pngStar-white.png	Lightning Wall	Lightning	Status Effect	—	100%	2 AP
Star-white.pngStar-white.pngStar-white.png	Energy Wave	Typeless	Ranged Attack	60	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	The Old 1-2	Typeless	Melee Attack	60	100%	5 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Iron Filings	Metal	Status Effect	—	100%	1 AP
