https://wiki.cassettebeasts.com/images/1/13/Huntorch.png
Initial	Smack	Typeless	Melee Attack	30	100%	0 AP
Initial	Peekaboo	Typeless	Status Effect	—	100%	1 AP
Initial	Wallop	Typeless	Melee Attack	60	100%	2 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Doc Leaf	Plant	Status Effect	—	100%	1 AP
Initial	Acorn Mortar	Plant	Ranged Attack	100	75%	3 AP
Star-white.png	Bushfire	Plant	Status Effect	—	Unavoidable	2 AP
Star-white.pngStar-white.png	Scorch	Fire	Status Effect	—	100%	1 AP
Star-white.pngStar-white.pngStar-white.png	New Leaf	Plant	Miscellaneous	—	Unavoidable	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Hot Potato	Fire	Status Effect	—	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Desperation	Typeless	Melee Attack	20	100%	1 AP
