https://wiki.cassettebeasts.com/images/e/e9/Hedgeherne.png
Initial	Smack	Typeless	Melee Attack	30	100%	0 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Doc Leaf	Plant	Status Effect	—	100%	1 AP
Initial	Acorn Mortar	Plant	Ranged Attack	100	75%	3 AP
Initial	Bushfire	Plant	Status Effect	—	Unavoidable	2 AP
Initial	New Leaf	Plant	Miscellaneous	—	Unavoidable	3 AP
Initial	Hot Potato	Fire	Status Effect	—	100%	3 AP
Initial	Desperation	Typeless	Melee Attack	20	100%	1 AP
Star-white.png	Incinerate	Fire	Melee Attack	40	100%	3 AP
Star-white.pngStar-white.png	Burning Passion	Fire	Status Effect	—	100%	Passive
Star-white.pngStar-white.pngStar-white.png	Woodcutter	Plant	Melee Attack	40	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Splinter	Plant	Melee Attack	15	Unavoidable	Passive
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Self-Destruct	Fire	Ranged Attack	60	100%	Passive
