https://wiki.cassettebeasts.com/images/7/77/Galagor.png
Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Focus	Typeless	Status Effect	—	100%	1 AP
Initial	Meditate	Astral	Status Effect	—	100%	3 AP
Initial	Hibernate	Astral	Status Effect	—	100%	3 AP
Initial	Mind-Meld	Astral	Status Effect	—	Unavoidable	2 AP
Initial	Provoke	Poison	Status Effect	—	100%	1 AP
Initial	Déjà Vu	Astral	Status Effect	—	100%	2 AP
Star-white.png	Broadcast	Air	Status Effect	—	100%	2 AP
Star-white.pngStar-white.png	Breathing Technique	Astral	Miscellaneous	—	50%	Passive
Star-white.pngStar-white.pngStar-white.png	Astral Wall	Astral	Status Effect	—	100%	2 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Shooting Star	Astral	Ranged Attack	60	100%	2 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Magnet	Metal	Status Effect	—	100%	1 AP
