https://wiki.cassettebeasts.com/images/c/c9/Zeustrike.png
Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Raise Arms	Typeless	Status Effect	—	100%	1 AP
Initial	Thunder Blast	Lightning	Ranged Attack	60	100%	3 AP
Initial	Dodge	Typeless	Status Effect	—	100%	1 AP
Initial	Lightning Wall	Lightning	Status Effect	—	100%	2 AP
Initial	Blizzard	Ice	Ranged Attack	60	100%	5 AP
Initial	Energy Shot	Typeless	Ranged Attack	60	100%	2 AP
Star-white.png	Iron Filings	Metal	Status Effect	—	100%	1 AP
Star-white.pngStar-white.png	Raise Shields	Typeless	Status Effect	—	100%	1 AP
Star-white.pngStar-white.pngStar-white.png	Energy Wave	Typeless	Ranged Attack	60	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Hurricane	Air	Ranged Attack	90	100%	5 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Damage Roll	Typeless	Ranged Attack	9	100%	3 AP
